playerID,adjusted_salary,age,career_length,bats,throws,POS,teamName,career_OPS,career_PA,Career_R,Career_H,Career_HR,career_RBI,Career_BB,Career_SO,Career_IBB,career_TB,career_WAR
herrto01,2310000.0,32.0,9.0,B,R,2B,St. Louis Cardinals,0.701,4617,540,1101,20,456,478,435,36,1418,20.57
lampkto01,165000.0,24.0,0.0,L,R,C,Cleveland Guardians,0.2,5,0,0,0,0,1,0,0,0,-0.08
lawleto01,330000.0,31.0,6.0,R,R,3B,St. Louis Cardinals,0.527,499,57,93,2,20,34,72,1,119,-0.5700000000000001
nietoto01,273240.0,27.0,4.0,R,R,C,Minnesota Twins,0.569,636,35,119,5,65,46,117,11,166,-2.1
omallto01,165000.0,27.0,6.0,L,R,3B,Washington Nationals,0.667,1222,101,277,10,109,122,129,16,362,1.0699999999999998
pagnoto01,191400.0,25.0,1.0,R,R,C,St. Louis Cardinals,0.634,262,25,64,2,24,15,45,3,80,-0.3399999999999999
princto01,165000.0,23.0,1.0,R,R,C,Pittsburgh Pirates,0.471,89,4,15,1,8,4,17,0,21,-0.36
barreto01,165000.0,28.0,0.0,B,R,2B,Philadelphia Phillies,0.528,63,5,11,0,3,7,8,0,12,-0.05
greggto01,165000.0,24.0,1.0,L,L,OF,Pittsburgh Pirates,0.763,56,8,15,1,7,3,8,1,23,0.0999999999999999
armasto01,165000.0,34.0,12.0,R,R,OF,Los Angeles Angels,0.74,5291,592,1250,240,785,253,1153,35,2243,15.42
fernato01,2310000.0,26.0,5.0,B,R,SS,Toronto Blue Jays,0.748,2983,362,820,25,274,185,223,8,1105,19.62
gwynnto01,2217600.0,28.0,6.0,L,L,OF,San Diego Padres,0.829,3848,535,1151,41,354,326,203,72,1527,33.01
perezto02,165000.0,22.0,0.0,R,R,SS,San Francisco Giants,0.398,11,1,1,0,1,2,1,0,1,-0.06
penato01,2904000.0,31.0,8.0,R,R,C,St. Louis Cardinals,0.715,4062,402,1036,78,435,243,486,48,1486,23.74
phillto02,528000.0,29.0,6.0,B,R,OF,Oakland Athletics,0.687,2483,306,531,29,212,284,424,3,748,11.49
lovulto01,165000.0,22.0,0.0,B,R,2B,Detroit Tigers,1.076,23,2,8,1,2,1,2,0,14,0.5
jonestr01,415800.0,27.0,2.0,R,R,OF,Cincinnati Reds,0.768,735,98,200,15,78,52,63,4,279,2.95
woodstr01,165000.0,25.0,1.0,R,R,3B,Los Angeles Dodgers,0.611,331,29,74,4,26,16,53,3,102,-1.09
snideva01,165000.0,24.0,0.0,L,R,OF,Cincinnati Reds,0.564,29,4,6,1,6,0,13,0,10,0.05
lawva01,990000.0,31.0,8.0,R,R,3B,Chicago Cubs,0.714,3687,404,848,64,391,352,502,14,1248,10.81
